ID,Inv_No,Photolink,PHI_link,Habicht_No_AvP8.3 page,"Habicht_image_Avp8,3_Taf",Habicht_cat,period,date_start,date_end,date,type,Content,Comments on content,Form,Material,Location found,Location - intended,Comments on location,Translations and other literature,X-coord,y-coord,Geo_notes ,Current_Location,Location_Code,current_x-coord,current_y-coord,Current_Network_Beeline,Relation,Relation to,Pleiades2,x-coord_Network,y-coord_Network,Beeline,Festival,Asklepios,Other gods or heroes,Honoree,Dedicant,Pergamenes (pilgrims),Pergamenes (Roman citizens),Romans (other),Other (pilgrims),other prosopography (needs cleaning or omit),Profession or magistracy,cult role,References
"166",IvP III 145,,https://inscriptions.packhum.org/text/303164?bookid=747&location=1674,"145, pp. 144-145",Taf. 40,D. Verschiedenis,Imperial,"176","181",176-181 AD,Hymn,"Hymn/Paean in thanks of Asklepios in thanks of: cures, saving from distress, shipwrecks and storm etc",Replica poem of IvP 324. Authorship is attributed to Aristides,Stele,White marble,"Found in the rubble of the southern hall, near westside of the round building", , , ,9514347.764,4331845.737,,n,,,,Beelines__Point_IvP III 145,"Aigai; Delos; Ausonia (Italy); Bithynia; Teuthrania",Pergamon Asklepieion,,,,Beelines_Point_IvP III 145,,,,Marcus Aurelius and Commodos (Ausonioi anaktes),Aelius Aristides,,,,,Marcus Aurelius and Commodos (Ausonioi anaktes),,,
"167",IvP III 146,,https://inscriptions.packhum.org/text/303165?bookid=747&location=1674,"146, pp. 145-146",Taf. 42,D. Verschiedenis,Roman?,"-27","250",?,Burial,Burial stele, ,Bottom part of gravestele,Blueish marble,Found east of Asklepieion,Intended for a grave - thus outside Asklepieion,Reused in byzantine grave, ,,,,n,Depot ,,,Beelines__Point_IvP III 146,,,,,,Beelines_Point_IvP III 146,,,,,,"Anthos; Menodoros; Philemon",,,,"Anthos; Menodoros; Philemon",,,
"168",IvP III 146.1,,https://inscriptions.packhum.org/text/303166?bookid=747&location=1674,"146, pp. 145-146",,D. Verschiedenis,Roman?,"-27","250",?,Burial,Burial stele, ,Bottom part of gravestele,Blueish marble,Found east of Asklepieion,Intended for a grave - thus outside Asklepieion,Reused in byzantine grave, ,,,,n,,,,Beelines__Point_IvP III 146.1,,,,,,Beelines_Point_IvP III 146.1,,,,,,,,,,,,,
"169",IvP III 147,,https://inscriptions.packhum.org/text/303167?bookid=747&location=1674,"147, pp. 146",Taf. 31,D. Verschiedenis,?,"-27","250",?,Unclear,"The form of ears suggest at first would suggest votive, but its use in burial is strange. ",Maybe re-used?,Tabula ansatawith ears,Bronze,Found in a grave Grab IX Schnitt XLIII, , , ,,,,n,,,,Beelines__Point_IvP III 147,,,,,,Beelines_Point_IvP III 147,,,,,,Krios,,,,Krios,,,
"170",IvP III 148,,https://inscriptions.packhum.org/text/303168?bookid=747&location=1674,"148, pp. 146-148",Taf. 42,E. Fragmente,Imperial,"69","96",ca. 69-96 AD,Letter/imperial edict,Rest of a letter of the Emperor with an edict,"Likely with privileges, such as certain taxes; exemption from liturgy, immunitas etc. Habicht suggests this privilege could be directed towards the Asklepiades family - heridetary priestst - and possibly is also the edict that gave them Roman citizenship. Another suggestion is that it is directed towards a society of Asklepiadai, doctors.",fragment of large stele,Blue-Grey marble,"Found in the southwestern corner of the sanctaury, ""Sondage am der SW-Ecke"" Spring 1933 ", , , ,,,,n,Depot ,,,Beelines__Point_IvP III 148,Rome,,https://pleiades.stoa.org/places/502866838,12.4847567763,41.8925745251,Beelines_Point_IvP III 148,,,,,,,,,,,,,
"171",IvP III 149,,https://inscriptions.packhum.org/text/303169?bookid=747&location=1674,"149, pp. 148",Taf. 42,E. Fragmente,?,"-27","250",?,Dedication?,"Directed towards Zeus and Asklepios as benefactors of all men.After a vac. Follows Sarapis, Apollo","The content suggests to me that it was a religious stele, possibly a dedication.Habicht categorises it under ""fragmente""",Fragment of stele,White marble,"Found in the barracks near Asklepieion, April 1933", , , ,9514829.375,4331832.546,,n,Depot ,,,Beelines__Point_IvP III 149,,,,,,Beelines_Point_IvP III 149,,Asklepios,"Apollo; Sarapis; Zeus",,,,,,,,,,
"172",IvP III 150,,See 161,"150, pp. 148",Taf. 47,E. Fragmente,Imperial,"100","150",100-150 AD,Lex Sacra,"Fragmented, but likely part of lex sacra IvP 161 dealing with preliminary rituals","If it is part of the lex sacra, a dating to 100-150 AD is necessary. Somewhat restored already in antiquity ",2 fragments fitting together,White marble,"Found in the cryptoporticus, November 1930", , , ,9514385.94440175,4331881.63198696,,n,,,,Beelines__Point_IvP III 150,,,,,,Beelines_Point_IvP III 150,,,,,,,,,,Domitian,,,
"173",IvP III 151,,https://inscriptions.packhum.org/text/303170?bookid=747&location=1674,"151, pp. 148-9",Taf. 47,E. Fragmente,Imperial,"81","96",81-96 AD,List of names,Habicht identifies it as a list of eponymous strategoi of Pergamon during the reign of Domitian, ,Fragment of large stele,White marble,"Found in the theatre, in the middle ring of the eastern part, at a ""runde zisterne""", ,This round cistern is not clearly visible on the map of Habicht in the beginning of his book, ,9514337.286,4331966.477,,n,Depot ,,,Beelines__Point_IvP III 151,Bithynia,,https://pleiades.stoa.org/places/511189,31.5858565,40.7561925,Beelines_Point_IvP III 151,,,,,,,"Valerius; Aelianus; Aeschylinus; Andronicus; Dionysius; Etymon",,,"Valerius; Aelianus; Aeschylinus; Andronicus; Dionysius; Etymon",,,
"174",IvP III 152,,https://inscriptions.packhum.org/text/303171?bookid=747&location=1674,"152, pp. 149-151",Taf. 47,E. Fragmente,Imperial,"150","200",150-200 AD,List of names,Habicht identifies it as a list of names for sacred positions,Interesting: Pontifex is written in Greek - no archiereus is used,3 fragments of stele,White marble,"Fragment 1: found in the northern hall; Fragment 2: found in the Festplatz reused in a grave west of the three litte rooms (SW-corner of the asklepieion I think); Fragment 2: foundplace not stated", , , ,9514355.143,4331946.815,,n,Depot ,,,Beelines__Point_IvP III 152,"Nikomedeia (Bithynia); Heraklea in Pontos",,https://pleiades.stoa.org/places/511337,29.919887,40.7651905,Beelines_Point_IvP III 152,,Basileus Asklepios (Bithynia),,,,[Ch]aridemos,[M. Caer]ellius Julianus,[J]uventianus Alexander from Nikomedia,"[…]philos; Pegasios of Hermogenes",Charidemos,,"pontifex; perithytes;  therapeutes; neokoros; hiereus",
"175",IvP III 153,,https://inscriptions.packhum.org/text/303172?bookid=747&location=1674,"153, pp. 151-153",Taf. 48,E. Fragmente,Imperial,"117","138",117-138 AD,List of names,"List of prominent Pergamene persons. Roman names. Includes province-wide positions, like Asiarch","Dated to rule of Hadrian because of ""Avitus"", identified to Proconsul L. Hedius Rufus Lollianus Avitus. Other prominent Pergamene: Rufus, (if restoration is correct) the sponsor of the temple of Asklepios-soter",Fragment of large stele,Bright-blueMarble,Found in the Cryptoporticus, , , ,9514385.94440175,4331881.63198696,,n,Depot ,,,Beelines__Point_IvP III 153,Asia (province),,https://pleiades.stoa.org/places/837,27.2786844167,37.9096964167,Beelines_Point_IvP III 153,,,,,,Menogenes,"[P. Quin]tilius Lu[pianus]; Avitus",,,"[P. Quin]tilius Lu[pianus]; Avitus",,,
"176",IvP III 154,,https://inscriptions.packhum.org/text/303173?bookid=747&location=1674,"154, pp. 153",Taf. 48,E. Fragmente,Imperial,"100","235",100-235?,List of names,List of Roman names,"Date range is large: Tertullos  could refer to Tertullius, a strategos of Severan dynasty, but it can also refer to a secretary of no.28. Major could refer to a praetorian honoured in no. 27. Korinthos and Chrestos are free slaves. Possibly Menandros as well",3 Fragments of stele/plaque,Blue-ish marble," found south of the """"Felsbarre""", , , ,,,,n,Depot ,,,Beelines__Point_IvP III 154,,,,,,Beelines_Point_IvP III 154,,,,,,"Apollonides; Korinthos; Menandros","Q. Flav[onius]; Florius; Fortius; Chrystus; Maior; Maximus; [Ter]tullus",,,"Apollonides; Korinthos; Menandros; Q. Flav[onius]; Florius; Fortius; Chrystus; Maior; Maximus; [Ter]tullus",,,
"177",IvP III 155,,https://inscriptions.packhum.org/text/303174?bookid=747&location=1674,"155, pp. 153-4",Taf. 46,E. Fragmente,Imperial,"100","300",100-300 AD,Unclear,Refers to the family of Claudius Nikomedes,"Date range is large, as it is unclear whether the Nikomedes here is the same as in no. 31. Same family as mentioned in no. 31. Quintillian is also mentioned, which might refer to the family mentioned in no. 153. ",Fragment of plaque,White marble,Not stated, , , ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 155,,,,,,Beelines_Point_IvP III 155,,,,,,,"Ti. Claudius Nicomedes; Quintilius; Flo...",,,"Quintilius; Flo…",,,
"178",IvP III 156,,https://inscriptions.packhum.org/text/303175?bookid=747&location=1674,"156, pp. 154",Taf. 48,E. Fragmente,Imperial, , ,After Flavian dynasy,Unclear,"Refers to Flavius, possibly Flavius Asklepiades","Same stone as no. 155. If interpretation correct, it is during or post-flavian dynasty",Fragment of plaque,White marble,Not stated, ,Found together with no. 155, ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 156,,,,,,Beelines_Point_IvP III 156,,,,,,,Flavius Asclepiades,,,Flavius Asclepiades,,,
"179",IvP III 157,,https://inscriptions.packhum.org/text/303176?bookid=747&location=1674,"157, pp. 154-5",Taf. 48,E. Fragmente,Imperial,"95","105",ca. 100 AD,cornice and sima of a gateway,Refers to Pergamon as Neokoros,,cornice and sima of the street gate, ,Found at the right entrance of the Asklepieion,"Originally ca 150m outside the Asklepieion, part of the streetgate that closed the Via Tecta", ,  ,,,,y,B006,9514455.34,4331921.7181441,Beelines__Point_IvP III 157,Pergamon,,https://pleiades.stoa.org/places/550812,27.1845303333,39.1312133333,Beelines_Point_IvP III 157,,,,,,,,,,,,,
"180",IvP III 158,,https://inscriptions.packhum.org/text/303177?bookid=747&location=1674,"158, pp. 155",Taf. 46,E. Fragmente,Hellenistic,"-300","-200",300-200 BC,Architrave/epistyl,Inscription refers to Hygieia. PHI has several suggestions for restaurations,"Dating based on Deubner; Habicht is cautious and suggests further excavations in order to date it",Fragment of Epistyl/architrave,Gray Marble, ,Part of Doric column drums of the eastern wall of the Hellenistic temple, , ,,,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 158,,,,,,Beelines_Point_IvP III 158,,,Hygieia,,,,,,,,,,
"181",IvP III 158.1,,https://inscriptions.packhum.org/text/303178?bookid=747&location=1674,"158, pp. 155",,E. Fragmente,Hellenistic,"-300","-200",300-200 BC,Architrave/epistyl,Inscription refers to Hygieia. PHI has several suggestions for restaurations,"Dating based on Deubner; Habicht is cautious and suggests further excavations in order to date it",Fragment of Epistyl/architrave,Gray Marble, ,Part of Doric column drums of the eastern wall of the Hellenistic temple, , ,,,,n,,,,Beelines__Point_IvP III 158.1,,,,,,Beelines_Point_IvP III 158.1,,,,,,,,,,,,,
"182",IvP III 158.2,,https://inscriptions.packhum.org/text/303179?bookid=747&location=1674,"158, pp. 155",,E. Fragmente,Hellenistic,"-300","-200",300-200 BC,Architrave/epistyl,Inscription refers to Hygieia. PHI has several suggestions for restaurations,"Dating based on Deubner; Habicht is cautious and suggests further excavations in order to date it",Fragment of Epistyl/architrave,Gray Marble, ,Part of Doric column drums of the eastern wall of the Hellenistic temple, , ,,,,n,Depot ,,,Beelines__Point_IvP III 158.2,,,,,,Beelines_Point_IvP III 158.2,,,,,,,,,,,,,
"183",IvP III 159,,https://inscriptions.packhum.org/text/303180?bookid=747&location=1674,"159, pp. 155",Taf. 46,E. Fragmente,Hellenistic,"-263","-159",263-159 BC,Unclear,Refers to Eumenes (unclear which one),Habicht does not want to speculate on whether it was a dedication or something else,Block ,White marble,Found at the Festplatz, , , ,9514376.633,4331914.175,,n,Depot ,,,Beelines__Point_IvP III 159,Pergamon,,https://pleiades.stoa.org/places/550812,27.1845303333,39.1312133333,Beelines_Point_IvP III 159,,,,,,Eumenes,,,,Eumenes,,,
"184",IvP III 160,,https://inscriptions.packhum.org/text/303181?bookid=747&location=1674,"160, pp. 155","Taf. 32, 160",E. Fragmente,Imperial,"-27","250",?,Unclear,"Includes a torch in its iconography. Restoration of Flavius or Fabius possible, with Habicht preferring Fabius",Includes a torch in its iconography as well as in the tekst (????????). It is linked by Habicht to a mystery of Demeter and possibly to the altar of Demeter in no. 130,Fragment of large stele,White marble,Found in front of the southern wall of the large rooms on the Festplatz, , , ,9514347.764,4331845.737,,n,,,,Beelines__Point_IvP III 160,,,,,,Beelines_Point_IvP III 160,,,,,,,[Fl]avius,,,[Fl]avius,,,
"185",IvP III 160.B,,Not on PHI,"160B, pp. 156",,E. Fragmente,?, , ,?,Dedication,Habicht does not give much information of the inscription it was accompanied by,the font has not yet been assigned to any known system,Large bronze snake,Bronze,Found in the Asklepieion without further details, , ,"E. Grumach, Kadmos 4, 1965 pp 176ff",9514470.938,4331887.249,,n,,,,Beelines__Point_IvP III 160.B,,,,,,Beelines_Point_IvP III 160.B,,,,,,,,,,,,,
"186",IvP III 161a,,https://inscriptions.packhum.org/text/303182?&bookid=747&location=1674,"161, pp. 167-190","Taf. 49, 50",,Imperial,"100","150",100-150 AD,Sacred Law/Norm,Preliminary sacrifices to a range of gods before incubation,"The inscription informs us about two incubation halls, one named the small enkoimeterion. It also differentiates between people incubation for the same disease several times and people wanting to consult for ""different"" matters", ,Marble,"Found in 1965 in the ""Hallenstrasse"" (sacred way) leading up to the Propylon. Supplemented by other fragments: Frg.1 unkown location; Frg.2: underground passage; Frg. 3 among rubble",Possibly before the sanctuary (where it was found) because it concerns preliminary rituals. A second copy could have been available within the sanctuary,The other fragments have been interpreted as a second copy of the same inscription found in the Hallenstra?e,"Translation in Lupu, pp. 62-63: Lupu, Eran. Greek Sacred Law : A Collection of New Documents (Ngsl) (version 2nd ed. with a postscript.). 2Nd ed. with a postscript ed. Religions in the Graeco-Roman World, V. 152. Leiden: Brill, 2009; Wörrle Michael. Die Lex Sacra Von Der Hallenstrasse (Inv. 1965, 20). Berlin, 1969.",9514511.24,4331947.94,,n,,,,Beelines__Point_IvP III 161a,"(Epidauros); Phokaia",,https://pleiades.stoa.org/places/550823,26.754884,38.6703265,Beelines_Point_IvP III 161a,,Asklepios,"Zeus Apotropaios; Zeus Meilichios; Artemis Prothyraia; Ge; Tyche; Mnemosyne; Themis; ",,,,Clodius Glycon,,,Clodius Glycon,,,"Wörrle in IvP III, 167-190; Melfi 2016, 105-106"
"187",IvP III 161b/150,,https://inscriptions.packhum.org/text/303183?bookid=747&location=1674,"161, pp. 167-190",Taf. 51,,Imperial,"100","150",100-150 AD,Sacred Law/Norm,Preliminary sacrifices to a range of gods before incubation,"The inscription informs us about two incubation halls, one named the small enkoimeterion. It also differentiates between people incubation for the same disease several times and people wanting to consult for ""different"" matters", ,Marble,"Found in 1965 in the ""Hallenstrasse"" (sacred way) leading up to the Propylon. Supplemented by other fragments: Frg.1 unkown location; Frg.2: underground passage; Frg. 3 among rubble",Possibly before the sanctuary (where it was found) because it concerns preliminary rituals. A second copy could have been available within the sanctuary,The other fragments have been interpreted as a second copy of the same inscription found in the Hallenstra?e,"Translation in Lupu, pp. 62-63: Lup, Eran (2009) Greek Sacred Law : A Collection of New Documents (NGSL) (version 2nd ed. with a postscript.). Religions in the Graeco-Roman World, V. 152; Wörrle Michael. Die Lex Sacra Von Der Hallenstrasse (Inv. 1965, 20). Berlin, 1969.",9514511.24,4331947.94,,n,,,,Beelines__Point_IvP III 161b/150,"(Epidauros); Phokaia",,https://pleiades.stoa.org/places/550823,26.754884,38.6703265,Beelines_Point_IvP III 161b/150,,,,,,,Clodius Glycon,,,Clodius Glycon,,,"Wörrle in IvP III, 167-190; Melfi 2016, 105-106"
"188",IvP II 251,,https://inscriptions.packhum.org/text/301894?&bookid=746&location=1674," (251), p.3 discussed",,,Hellenistic,"-150","-133",Later part of monarchy,Decree,Concerning priesthood: it became hereditary and it lists the privileges ,"Descendants of Asklepiades son of Archias receive the priesthood. Maybe family of the Archias mentioned by Pausanias when discussing Epidauros (2.26) and the Archias sent by Eumenes as emmisary to Epidauros (IG IV²,1 60)?", , ,Two fragments: one below the Great Altar and the other in the southwest corner of the sanctuary of Athena. It was thus not found within the Asklepieion itself,"Placed in three sanctuaries: one of them in the sanctuary of Asklepios at Pergamon, another one in the sanctuary of Athena on the acropolis, (40) and the third one at Mytilene in the sanctuary of Asklepios",  ,Translation and additional bibliography can be found on http://cgrn.ulg.ac.be/file/206/ CGRN 206,9514343.075,4331921.021,,n,,,,Beelines__Point_IvP II 251,"Mytilene (Asklepieion); Acropolis of Pergamon (Athena sanctuary)",,https://pleiades.stoa.org/places/550763,26.547048,39.110475,Beelines_Point_IvP II 251,,,,,,,,,,,,,
"189",IvP I 246,,https://inscriptions.packhum.org/text/301887?&bookid=745&location=1674,"(246), p.3 discussed, IvP II p.510",,,Hellenistic,"-138","-133",138-133 BC,Decree,Pergamon grants cult honours to Attalos III,Translation: http://www.attalus.org/docs/ogis/s332.html,,,Found near Elaia (port of Pergamon),The Asklepieion,,,9503400.534,4312201.564,,n,,,,Beelines__Point_IvP I 246,,,,,,Beelines_Point_IvP I 246,,,,,,,,,,,,,
